incl0801.srt.bam	incl0802.srt.bam	incl1601.srt.bam	incl1602.srt.bam	incl3201.srt.bam	incl3202.srt.bam	inclbl01.srt.bam	inclbl02.srt.bam	ivcl0801.srt.bam	ivcl0802.srt.bam	ivcl1601.srt.bam	ivcl1602.srt.bam	ivcl3201.srt.bam	ivcl3202.srt.bam
AP1B1	94	107	56	64	77	611	16	352	2790	2627	2090	1764	3121	1175
RASL10A	146	314	138	475	6	138	0	0	14	79	24	335	23	0
GAS2L1	10	0	2	0	60	321	24	132	53	30	12	13	68	0
EWSR1	270	1024	778	605	215	2403	1178	1897	139	87	110	977	47	70
RHBDD3	0	0	0	6	5	140	2	20	21	22	7	11	6	2
EMID1	0	5	0	19	0	0	0	0	0	72	6	38	11	8
KREMEN1	31	132	36	135	0	7	8	0	576	595	237	453	517	76
LOC106991713	0	0	1	0	0	0	0	0	11	27	18	0	0	6
C17H22orf31	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC105602936	0	0	0	2	14	32	66	8	0	15	0	0	49	0
ZNRF3	0	0	0	0	13	24	16	12	8	4	1	7	1	15
XBP1	62	102	131	258	82	642	620	258	1114	1393	1501	1418	126	450
CCDC117	2676	2969	2200	829	488	2324	5962	4800	3392	3655	8047	2852	3096	2100
HSCB	974	1941	2500	2372	356	3249	3338	2684	2918	1749	5862	3301	714	1825
CHEK2	2892	1054	1826	2317	197	3113	2428	2743	361	267	662	428	245	414
LOC106991712	36	50	21	34	0	8	27	5	3	0	8	8	0	22
TTC28	0	0	24	0	0	0	0	0	360	354	456	485	803	227
PITPNB	14644	15014	12314	8732	489	3497	3637	3991	4515	10042	4635	16095	4349	8914
MN1	0	0	0	4	0	0	0	0	6	5	4	0	0	12
LOC101105359	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC106991711	0	0	0	0	0	0	0	0	0	2	0	0	0	0
CRYBA4	0	0	0	0	0	2	0	0	0	13	0	0	0	0
CRYBB1	22	4	12	12	1	14	2	33	27	63	42	53	34	88
TPST2	269	233	296	507	82	935	631	414	816	1219	803	713	968	1334
TFIP11	294	441	280	337	33	597	6	306	554	1231	952	942	739	984
SRRD	0	99	23	4	13	64	3	38	163	93	156	179	165	56
HPS4	207	45	200	55	30	310	109	214	404	500	178	449	237	111
ASPHD2	195	408	154	192	0	2	18	0	2259	1280	866	1575	1862	617
SEZ6L	34	36	12	1	6	2	0	0	232	66	109	146	521	0
MYO18B	770	838	1829	911	0	69	6	4	686	244	496	1889	1184	1636
LOC105602927	0	3	0	0	0	0	0	0	0	0	0	0	0	0
ADRBK2	208	165	199	180	0	0	0	0	387	854	374	684	1638	325
CRYBB2	0	240	46	108	0	0	0	0	367	414	253	347	106	237
CRYBB3	0	0	0	0	0	0	0	0	0	6	4	4	8	0
KIAA1671	0	2	0	0	46	140	74	182	80	146	92	238	44	48
TMEM211	0	0	2	2	0	0	0	0	32	13	6	44	0	2
SGSM1	0	66	0	0	6	96	81	58	22	14	20	16	0	0
PIWIL3	344	604	292	341	0	0	37	0	853	1894	4348	2189	761	263
LOC105602994	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC106991710	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC105602924	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WSCD2	29	0	2	0	0	0	0	0	0	0	0	0	0	0
CMKLR1	0	0	0	0	0	0	0	0	1	2	11	0	28	8
FICD	188	0	220	0	18	258	172	160	95	156	12	128	42	80
SART3	359	615	405	249	80	1322	426	886	2242	4582	2964	2151	4152	1539
LOC105602922	0	0	0	0	0	0	0	4	0	0	0	10	2	0
ISCU	4808	5238	5883	3912	513	6982	3075	4521	6225	2044	7785	5579	5718	3796
TMEM119	19	0	2	0	0	0	0	0	101	61	81	80	31	2
SELPLG	0	0	0	0	0	0	0	0	0	0	0	0	1	0
LOC105602921	0	1	0	76	8	62	16	108	0	26	98	83	1	105
CORO1C	416	1261	751	953	1374	9588	6386	12030	697	984	576	692	964	1619
SSH1	0	225	64	167	6	4	62	16	1135	698	1038	935	1351	626
DAO	2	0	1	1	2	0	0	0	0	0	0	0	0	0
SVOP	2	46	25	4	12	304	85	355	90	78	307	100	172	102
USP30	64	695	80	169	47	378	153	222	1200	992	348	859	1028	315
ALKBH2	72	524	198	203	8	158	0	111	1335	1488	512	1305	321	325
UNG	172	324	153	190	12	1093	76	266	511	244	1246	657	303	353
LOC106991685	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC106991684	0	0	0	0	0	0	0	0	0	0	0	0	0	1
LOC105602920	0	0	0	0	0	0	0	0	0	0	1	0	0	0
ACACB	90	143	70	84	1	35	11	4	731	1128	795	850	185	674
FOXN4	6	0	0	0	0	0	0	0	0	0	59	20	109	0
MYO1H	6	0	0	19	0	0	0	0	128	245	233	284	290	339
KCTD10	42	206	27	14	8	26	9	3	152	66	273	147	177	118
UBE3B	200	198	348	186	49	382	258	392	1220	1458	1759	2203	788	583
MMAB	0	53	376	209	281	2416	1201	1064	418	186	591	547	72	141
MVK	5	113	12	113	61	955	21	582	215	230	58	626	132	120
LOC105602918	0	0	0	0	0	0	0	0	0	0	0	0	1	0
TRPV4	0	0	0	0	0	83	18	48	7	23	0	2	38	0
GLTP	524	588	628	456	565	3273	4867	3352	1514	1519	2068	907	2050	898
TCHP	178	341	81	146	64	721	286	449	582	748	862	611	536	717
GIT2	624	1048	682	289	119	920	281	728	4350	5462	2465	3486	3545	1300
ANKRD13A	52	6	12	30	87	395	403	444	172	128	895	285	621	428
LOC106991692	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC106991691	0	5	0	0	0	0	0	0	0	20	18	0	0	0
LOC105602992	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OASL	0	0	0	0	0	0	0	0	4	0	0	4	2	9
C17H12orf43	1888	1854	2121	2516	51	496	147	210	451	230	353	1069	150	1246
HNF1A	0	0	0	1	0	0	0	5	0	0	0	18	0	0
LOC105602917	0	0	0	0	0	0	0	0	14	0	0	0	0	0
SPPL3	662	573	271	345	39	279	115	228	772	556	1135	810	930	208
ACADS	0	15	0	1	4	306	14	301	56	66	47	47	0	0
UNC119B	258	1235	905	1090	84	216	495	341	2154	3471	3057	1992	1404	924
MLEC	1233	1981	1045	1330	147	1771	1074	1302	5229	4473	4321	3235	6747	3843
CABP1	6	4	0	25	0	0	0	0	34	110	2	31	0	0
POP5	631	592	772	905	174	1667	1874	1759	102	40	12	121	38	28
RNF10	9774	12716	7844	7946	476	3103	2579	3626	37842	48285	25952	20666	34482	21216
COQ5	608	464	237	263	273	1329	2478	2157	84	162	132	26	85	182
DYNLL1	1035	1443	2735	1829	36	118	258	153	2792	2340	3098	5292	1418	2382
SRSF9	2039	3368	3284	2865	961	5382	7242	6886	1922	1637	2416	3115	2426	1506
GATC	33	104	37	33	38	250	417	277	58	89	84	172	4	15
TRIAP1	3166	873	3051	2952	586	3965	10133	4121	354	368	637	2096	124	1107
LOC101117965	14159	13353	14247	14542	4158	25788	62664	33852	789	351	569	4332	867	3014
MSI1	47	70	62	0	0	0	0	3	269	268	518	255	119	68
PLA2G1B	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SIRT4	94	48	123	103	16	46	0	34	6	30	156	62	0	134
LOC105606632	0	0	0	0	0	0	0	0	0	24	1	0	0	0
PXN	4	124	0	120	2	5	0	0	952	883	822	663	753	139
RPLP0	43887	37555	32415	31935	14854	143885	84659	121844	33150	22459	25492	34470	44034	68891
GCN1	150	305	490	228	356	3118	1032	2273	2613	3108	2009	1577	3728	941
RAB35	184	716	60	179	6	74	11	16	2195	3115	2841	2155	2631	1320
LOC105602914	33	38	9	22	0	1	0	0	17	21	8	8	164	20
CCDC64	59	275	192	76	8	98	10	48	476	146	253	210	369	329
ALDH2	12	154	350	195	10	218	12	93	1271	914	635	602	648	242
LOC105602913	70	221	382	182	28	83	43	39	379	220	346	431	172	133
MAPKAPK5	1287	1139	415	464	222	1521	1856	1217	557	195	1238	488	163	155
LOC101110970	0	0	0	0	0	0	20	0	0	0	14	0	0	0
LOC101115991	1	0	20	2	0	0	2	16	54	52	94	171	0	0
LOC101115734	0	0	0	0	2	0	0	0	0	0	8	0	0	0
TMEM116	95	158	68	204	14	81	173	248	56	93	207	365	66	48
ERP29	521	390	208	41	648	10368	2368	8793	591	478	1054	379	1060	442
NAA25	500	922	631	785	283	1496	3477	1766	160	106	269	407	168	643
LOC101110453	1	0	1	0	0	0	0	0	5	3	2	1	0	0
TRAFD1	2226	3747	1855	2748	66	947	188	1592	14795	18073	12020	11003	9158	5647
HECTD4	275	183	41	15	136	379	952	543	369	575	2867	1405	587	670
RPL6	6357	4902	7092	3797	6685	39636	52668	34623	1980	513	1173	2622	2132	1774
PTPN11	2115	3216	1690	1525	565	3707	4030	4308	7424	4753	12652	6155	10070	7206
RPH3A	0	0	96	0	0	0	0	1	360	253	227	129	54	0
LOC106991709	10	25	0	21	0	0	0	0	0	0	8	4	0	0
LOC101110181	22	0	26	0	0	0	0	0	20	0	2	0	0	0
OAS1	613	53	204	285	6	52	265	168	443	16	0	92	116	0
OAS2	101	210	74	60	0	0	7	2	116	54	73	85	13	112
SLC8B1	461	394	525	427	92	415	344	746	2690	1718	1985	1612	2405	505
TPCN1	157	194	137	104	12	356	173	98	997	1405	449	724	701	394
IQCD	205	151	135	13	0	0	0	0	253	99	103	203	931	615
RITA1	454	2197	363	530	34	595	22	447	4637	3978	1967	2070	3333	1824
DDX54	238	1680	661	1134	139	1619	231	519	1812	2487	1542	1415	1303	1217
CFAP73	43	37	6	13	14	49	9	10	164	36	53	42	164	5
RASAL1	0	0	75	0	0	0	0	0	8	31	11	5	64	0
DTX1	0	0	0	0	0	0	0	0	310	68	117	2	46	0
LOC105602910	0	0	0	0	0	0	0	0	2	0	0	0	0	2
PLBD2	39	216	4	0	4	85	7	42	215	201	15	20	516	318
SDS	20513	32638	6877	6582	0	394	2	94	31154	49781	11353	8223	76341	31389
SDSL	0	0	1	1	0	0	0	0	20	26	16	0	0	2
LHX5	0	0	0	0	0	1	0	0	0	0	0	0	2	0
LOC105602906	202	14	118	253	0	0	0	0	18	146	0	170	399	150
RBM19	1202	1261	1582	1737	122	1593	116	1128	883	272	319	960	1283	1490
LOC105602905	0	12	0	0	0	0	0	0	54	59	84	19	0	8
TBX5	0	0	0	0	4	0	0	14	0	6	0	5	0	10
LOC105602903	0	0	0	2	0	0	0	0	0	0	0	10	0	0
LOC105602904	0	0	0	0	0	0	0	7	0	0	5	0	0	0
LOC105601855	22	33	26	20	19	84	48	84	76	58	106	103	83	29
TBX3	219	289	603	156	950	6181	3673	3079	1160	275	177	190	582	864
LOC105602894	0	0	0	0	0	0	0	0	0	0	6	0	0	0
LOC105602898	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MED13L	3711	4007	2888	2813	160	621	932	594	5571	4140	6365	7321	6088	3743
LOC105602892	14	0	0	38	0	0	0	0	0	0	22	0	0	0
LOC105602890	145	4	28	50	5	0	19	38	0	2	2	27	0	39
C17H12orf49	403	382	505	467	82	497	699	332	1183	980	1120	1188	639	969
RNFT2	273	0	31	213	0	3	43	32	2471	839	1835	878	1138	1001
HRK	0	5	0	0	0	16	75	46	0	0	0	0	0	0
FBXW8	97	212	98	159	20	567	154	238	270	586	1054	906	137	361
LOC106991708	0	94	0	0	0	0	0	0	0	0	0	0	0	0
TESC	52	141	73	75	0	2	0	0	310	252	351	274	193	264
FBXO21	479	441	178	279	2	157	32	138	2936	2921	3787	2006	1987	725
NOS1	390	798	9	305	0	65	26	18	2408	3976	710	1998	5738	438
KSR2	80	300	103	57	0	0	0	0	380	387	165	278	413	254
RFC5	154	456	388	305	183	1394	1495	1314	1061	916	779	1374	500	435
WSB2	178	1068	723	441	146	1349	1182	1182	2908	1968	1174	2508	3627	1955
LOC105602888	28	22	29	33	47	190	527	214	424	9	80	129	150	115
VSIG10	139	147	7	404	16	1237	338	645	919	1401	546	819	636	204
LOC101109212	8	2	10	6	15	49	41	31	0	4	20	22	34	39
LOC106991707	106	2	12	8	0	5	0	0	86	76	124	46	0	0
PEBP1	167	306	141	247	827	6709	5978	5806	397	476	1090	550	185	184
TAOK3	1450	4735	3127	2828	141	356	576	532	11616	7741	6097	5972	3271	4000
SUDS3	136	41	265	2	165	1434	1196	1277	161	92	3663	257	281	701
LOC101106547	0	0	2	0	0	0	0	0	1	0	0	0	0	2
SRRM4	658	961	90	178	10	43	32	26	1344	2341	2674	2167	2974	1107
HSPB8	0	8	6	0	25	1710	1780	2504	2	0	0	0	0	0
CCDC60	2372	5547	3304	4936	32	126	148	164	4134	5890	3301	6997	2050	3445
TMEM233	1859	6384	1728	3852	11	107	26	272	11313	11108	9094	7933	5872	7249
PRKAB1	108	257	336	181	91	1005	133	536	227	302	444	751	119	215
CIT	813	1108	735	859	71	228	590	438	3480	3715	4895	3199	2691	3280
LOC106991705	0	0	0	8	0	0	0	0	0	0	0	1	0	0
LOC105602884	0	0	0	0	0	12	0	4	24	17	26	8	0	9
ACAD10	12	0	0	6	80	205	110	206	51	46	5	58	78	52
LOC105602881	236	496	275	578	60	215	164	232	1176	1577	806	593	660	724
LOC101105533	0	0	1	0	0	28	12	102	0	0	44	48	4	117
BRAP	1903	3445	5515	4344	251	2087	2303	2478	8592	16025	9995	13570	4269	9466
LOC106991706	0	0	0	90	0	0	0	0	22	0	70	8	0	0
LOC106991680	0	0	0	0	0	0	0	0	0	0	0	8	0	0
ATXN2	2924	2113	1905	1497	225	1177	999	1048	4379	4187	7137	4743	3647	1730
SH2B3	196	112	44	39	0	16	0	0	883	245	459	537	1006	247
FAM109A	0	17	28	48	0	7	0	7	81	56	14	85	129	59
LOC106991704	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CUX2	377	1812	705	781	4	0	0	29	5743	6094	4383	5427	4125	1161
MYL2	0	0	2	0	0	0	0	0	0	0	0	0	0	0
CCDC63	0	0	0	0	0	0	0	0	6	0	0	3	0	0
PPP1CC	9799	16603	9965	7441	210	2590	2230	3200	5841	8350	3640	7010	6846	5830
LOC105602878	1	146	52	11	2	1	4	11	48	122	14	26	27	35
HVCN1	365	1985	704	963	18	109	337	186	3064	3875	1035	3651	1394	1723
TCTN1	2425	3418	2448	2024	53	830	559	968	5335	7378	6025	6683	3665	5337
LOC105602877	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PPTC7	7216	7175	6580	4999	149	785	2289	1907	6073	3931	12693	3872	5259	6331
RAD9B	0	74	0	201	36	533	580	781	134	126	313	178	44	36
VPS29	2202	3746	5178	4109	3068	21048	49794	36448	5383	4912	5111	7705	2298	3060
FAM216A	15	0	27	34	29	78	267	246	133	100	94	147	20	19
GPN3	1661	817	1635	742	52	379	1086	727	271	158	529	702	38	291
ARPC3	750	2256	1882	1891	65	423	542	521	446	235	259	897	172	507
ANAPC7	755	969	1625	843	322	2721	1577	2359	2217	3373	3448	4487	1946	1871
ATP2A2	6926	9839	5816	5330	163	1660	1457	2002	20525	13386	27084	13174	21029	15901
LOC105602875	50	114	158	0	2	316	0	38	2	23	2	8	50	0
LOC105602973	0	0	0	0	0	1	0	2	0	0	0	0	0	0
IFT81	494	60	305	266	6	20	2	68	361	153	595	185	98	291
P2RX7	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P2RX4	235	48	184	197	730	44	2164	984	771	430	236	887	473	320
CAMKK2	0	107	1	27	60	184	100	52	107	61	216	35	30	91
LOC105602972	5	0	0	0	0	0	0	0	0	5	7	0	0	0
ANAPC5	24	404	203	244	95	996	1002	941	723	600	564	912	25	717
RNF34	8759	20264	15509	11621	82	406	626	1049	24587	29446	29726	53373	10645	11430
LOC105602874	98	20	0	6	0	0	0	2	295	75	205	168	310	7
KDM2B	42	79	126	36	126	608	934	441	245	133	299	159	331	70
ORAI1	76	0	2	0	24	493	40	257	232	102	142	185	233	0
MORN3	0	0	0	0	0	0	0	0	0	0	0	0	0	12
LOC101123326	262	140	180	282	451	1818	3133	2294	98	4	62	64	70	91
TMEM120B	312	195	198	170	34	87	104	314	3150	3412	4198	2289	3536	1045
RHOF	436	350	349	280	49	925	401	445	899	1306	805	996	586	1336
SETD1B	24	117	5	37	0	98	22	14	527	227	433	422	584	87
HPD	0	0	0	0	0	0	0	0	211	152	0	119	0	0
PSMD9	2902	3626	3082	3905	190	3006	1318	1598	12419	12193	6670	8256	7817	7971
WDR66	69	10	52	2	0	0	0	1	234	111	109	82	92	294
BCL7A	209	76	92	173	10	282	2	108	913	840	326	891	1331	407
MLXIP	10	161	22	34	28	197	45	170	209	51	138	93	358	127
LOC105602872	5	0	6	2	143	414	785	993	72	18	107	20	625	13
LRRC43	0	0	0	56	0	4	0	0	34	102	56	199	42	89
B3GNT4	169	102	23	49	0	3	0	0	203	129	549	316	434	257
DIABLO	2059	1948	2965	2820	390	3426	3384	3594	111	138	163	698	191	410
LOC105602871	67	0	49	0	3	73	7	8	86	171	59	14	2	46
VPS33A	296	970	542	726	201	1680	662	1002	2226	2115	1059	1399	663	1038
CLIP1	6770	6854	5001	3618	1405	5335	9322	8602	16493	16406	21498	10825	26467	14956
ZCCHC8	987	1049	1640	787	76	324	360	266	1083	909	1944	1728	1310	1428
RSRC2	19279	15809	13211	8753	1257	5943	9861	6480	18668	22398	10545	15936	22828	22209
KNTC1	6670	2396	4040	2601	297	1797	2491	2004	846	537	3143	4231	3931	8914
LOC101102014	0	0	30	0	0	0	0	0	0	0	0	0	0	0
HCAR1	0	0	60	0	0	0	0	0	0	0	0	0	0	0
DENR	2387	3970	4223	2810	629	4158	7538	5055	945	496	921	1111	350	1441
CCDC62	1194	4464	1754	2495	16	71	201	54	4550	9958	7808	9225	2121	7079
HIP1R	51	656	69	51	8	71	0	1	2316	4756	1856	2327	3118	1116
VPS37B	8	36	4	0	0	0	15	18	312	100	103	181	127	31
ABCB9	67	0	25	0	0	0	0	0	130	130	66	34	147	92
OGFOD2	383	0	82	157	70	1103	156	626	69	111	48	422	22	216
ARL6IP4	93	54	46	88	143	1682	148	997	230	103	132	145	117	308
PITPNM2	42	36	233	201	0	13	2	12	1039	1419	609	1089	1697	612
MPHOSPH9	39103	51553	45398	32918	121	705	1229	804	40185	33862	114806	34891	29235	81003
C17H12orf65	1075	1695	1215	1047	126	882	1665	891	435	258	328	897	151	341
CDK2AP1	4818	4261	3639	3311	192	1214	1006	1527	5173	3626	7284	5703	7163	6355
SBNO1	68661	39182	55095	30359	521	2391	4139	2448	18521	4839	11399	21874	19469	20644
LOC105602864	6	4	50	20	5	32	14	11	0	0	8	8	0	0
KMT5A	416	541	526	326	79	360	143	244	575	1143	358	313	364	319
RILPL2	249	147	90	142	12	21	0	97	514	263	359	91	136	160
SNRNP35	3160	3036	3071	3273	12	361	150	169	1720	834	637	2470	1354	938
RILPL1	122	0	0	148	26	218	124	406	361	3	80	122	48	272
LOC105606356	3	50	1	0	3	0	0	0	4	0	0	0	0	0
TMED2	1592	3251	2592	1660	162	4150	6007	6930	1940	1570	4408	2766	2613	2346
DDX55	2812	2650	3567	2831	337	2733	1934	2065	2087	2518	3155	4362	2005	2180
EIF2B1	1203	3415	3533	1940	313	3574	2296	3241	3952	6084	4762	6251	2253	2162
GTF2H3	1543	4660	3733	4159	42	667	529	918	2645	4779	5878	5115	1105	1969
TCTN2	93	55	86	56	0	54	72	63	123	120	218	201	104	167
ATP6V0A2	574	575	536	506	210	955	2716	1857	1182	524	1540	1051	866	237
DNAH10	0	0	20	22	8	2	0	12	70	88	129	107	0	74
CCDC92	40	232	0	81	0	11	0	0	1034	869	407	970	1043	222
ZNF664	772	1056	748	592	34	72	269	92	1928	2975	3193	3336	2194	1826
LOC106991703	0	2	16	8	0	0	0	0	2	27	0	4	5	21
LOC101115905	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC105602860	0	4	2	0	11	24	24	25	6	1	0	0	0	0
NCOR2	2	0	2	0	1	37	14	2	1	48	34	13	4	0
SCARB1	465	659	321	195	22	972	270	506	779	983	780	688	1863	898
UBC	75754	62380	40811	27913	854	6597	3244	6949	102454	55398	48103	42749	85028	86180
DHX37	93	106	296	211	28	577	81	328	556	799	618	722	481	373
BRI3BP	354	770	303	229	53	792	289	491	1103	814	663	721	829	662
LOC105602857	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AACS	1266	2458	889	803	89	588	458	558	10000	18880	14795	7444	11505	7971
LOC105602856	0	0	2	0	0	0	0	0	0	2	8	0	0	0
TMEM132B	0	196	0	34	4	0	0	0	8	132	65	38	68	0
LOC105602855	0	0	8	4	0	146	94	48	158	49	16	23	0	0
LOC101120019	0	0	0	0	2	2	20	8	0	0	0	0	0	0
LOC105602854	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC105602853	0	0	0	0	0	0	0	0	0	11	0	0	0	0
LOC105602850	50	0	6	92	21	293	118	208	424	2	0	0	646	1468
TMEM132C	0	0	0	10	0	0	0	0	0	0	43	0	0	32
SLC15A4	82	424	98	89	127	715	372	405	594	368	384	484	124	147
GLT1D1	328	73	173	148	24	2	63	149	316	220	164	60	589	235
TMEM132D	12	0	0	2	2	0	0	0	175	84	72	24	25	45
FZD10	64	155	36	32	16	159	96	190	176	42	0	0	756	81
PIWIL1	817	585	451	604	0	0	0	0	3374	2232	5739	2397	624	813
RIMBP2	5	0	0	0	0	0	0	0	34	95	25	34	55	46
STX2	73	20	377	256	22	114	96	66	552	256	666	796	168	208
RAN	4947	5189	6235	5163	841	8113	14742	11652	729	322	2835	1844	569	3708
LOC105602845	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ADGRD1	56	0	111	4	0	0	0	0	15	139	43	95	23	0
LOC106990371	0	0	2	0	0	0	0	0	0	0	0	0	0	0
SFSWAP	1086	748	1025	933	99	871	319	419	1712	2030	275	619	4277	3406
MMP17	12	0	0	0	0	41	2	10	50	0	44	15	73	87
ULK1	147	631	640	346	79	1140	582	846	1627	659	1302	541	1935	446
PUS1	26	105	66	54	82	860	251	552	240	237	428	199	306	34
EP400	989	1208	980	1130	329	980	2609	2452	2555	1865	2592	3057	3691	1586
LOC105602840	168	82	1	22	8	5	30	4	122	81	58	40	0	110
DDX51	117	69	188	122	100	495	369	446	180	70	136	131	140	20
NOC4L	130	134	180	128	60	495	52	381	590	506	537	688	620	163
LOC105602988	0	0	0	2	0	0	0	0	0	0	0	12	27	5
LOC105602839	0	0	0	0	0	0	0	0	4	0	8	0	48	0
LOC101117195	0	0	0	2	0	0	0	0	0	0	0	0	12	4
LOC106991702	0	0	0	0	0	0	0	0	4	8	2	6	3	2
LOC101116937	1	0	0	0	0	11	3	17	74	39	3	26	15	0
LRCOL1	0	4	0	0	0	0	0	0	0	1	0	0	0	0
P2RX2	0	0	26	20	0	0	0	8	4	0	0	0	14	0
POLE	357	189	446	505	79	326	162	448	491	366	596	668	765	935
PXMP2	33	2	35	16	4	26	12	9	41	5	206	77	6	79
PGAM5	813	1905	653	1481	193	2374	999	2009	3506	2941	3400	3407	3779	2828
ANKLE2	107	24	150	100	229	1371	4324	2338	151	289	919	372	328	89
GOLGA3	2983	2647	2494	2378	234	1178	1561	1208	9328	11279	18844	8898	11418	11276
CHFR	66	944	235	485	278	3085	1688	2448	2018	2998	849	3066	1536	806
LOC105611880	0	0	0	0	0	0	0	0	0	0	8	0	0	0
ANHX	0	46	1	0	0	0	0	0	389	0	360	238	112	85
LOC101114644	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MBD3L1	0	32	0	0	0	0	0	0	0	0	0	0	0	0
LOC106990370	0	0	0	0	0	0	0	0	0	1	0	0	0	0
LOC101111229	2	6	4	2	0	48	52	66	4	2	0	2	1	10
LOC101114390	313	56	59	78	35	594	339	241	56	14	120	49	0	69
ZNF891	0	0	0	0	0	34	0	0	0	0	60	0	0	0
LOC101110269	676	605	669	311	21	696	273	165	2393	3406	1984	2557	1306	656
ZNF605	12	738	118	459	29	429	1095	156	635	327	1009	306	184	176
LOC105602836	2	0	0	0	0	0	0	0	0	0	0	0	0	0
GUCY1A3	0	0	47	2	0	0	0	0	10	1	12	0	0	0
GUCY1B3	269	9	28	28	0	6	0	0	709	181	315	929	1196	971
ASIC5	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TDO2	2	0	64	0	0	0	0	0	31	134	5	97	0	6
CTSO	112	163	7	0	18	0	0	13	153	30	871	49	18	369
LOC105602833	77	44	26	40	2	0	1	0	89	7	30	97	88	267
LOC105602831	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC105602829	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PDGFC	0	0	0	0	0	0	50	0	0	0	51	0	0	0
LOC105602828	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GLRB	0	122	14	0	0	0	0	0	0	60	1	0	0	12
GRIA2	0	0	1	2	0	0	0	0	0	0	0	0	0	167
LOC101108423	133	142	203	137	11	144	258	120	47	8	37	39	18	38
LOC101108163	8	0	3	2	4	8	4	19	6	12	6	4	5	8
FAM198B	0	0	0	1	4	0	148	54	0	19	65	0	0	50
LOC106991701	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC105602825	0	0	0	2	8	0	32	0	0	0	0	0	0	0
TMEM144	2	2	0	0	29	57	73	231	0	0	0	9	0	80
LOC105602821	0	0	0	0	0	0	0	0	0	0	1	0	0	0
RXFP1	2	0	12	514	0	0	0	0	0	46	592	0	0	2
C17H4orf46	1216	207	555	962	78	1902	628	1808	170	415	621	394	14	393
LOC105602820	0	0	0	0	0	0	0	0	0	0	7	0	0	0
ETFDH	216	62	9	59	64	705	92	361	132	850	620	326	371	410
PPID	2703	6111	4897	3875	1120	11697	7972	11381	8189	11704	12694	13147	2513	1751
FNIP2	976	1176	970	1012	10	0	56	41	5310	2251	4706	3173	8573	3163
C17H4orf45	0	0	0	0	3	5	0	0	12	12	0	16	8	0
LOC105602816	151	82	334	151	12	218	140	247	470	298	368	398	271	416
RAPGEF2	927	1248	2423	1254	263	959	2437	907	1267	985	1930	1745	1959	1423
LOC101111319	0	0	0	0	6	13	18	150	0	85	0	0	0	36
LOC101111051	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC101110792	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC101110539	0	19	0	2	6	29	39	33	2	2	3	1	0	4
LOC101105950	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC101110270	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC105602808	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC101105689	6838	5825	6247	4743	556	4075	6816	5251	1275	756	1186	2554	1038	1794
FSTL5	0	0	0	19	0	0	0	0	0	0	22	0	0	17
TRPC3	971	277	347	366	6	0	0	0	62	45	187	69	108	72
LOC101104784	0	5	7	4	0	6	1	0	0	0	24	4	0	10
LOC105602806	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KIAA1109	1050	2797	1860	914	67	105	565	129	4220	4125	12776	4803	3878	6260
IL2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ADAD1	1073	6181	2958	3089	0	0	106	0	5983	7977	5139	9115	2368	1403
IL21	0	0	55	0	0	0	0	0	0	4	61	84	0	90
LOC105602804	0	0	0	0	0	0	0	0	0	0	3	2	0	2
LOC101104012	2335	2886	2356	3026	47	814	1262	923	1610	1498	3875	2407	348	1239
BBS12	3840	2511	1784	3027	17	539	59	367	1232	1654	2293	2301	1127	609
FGF2	17	41	16	0	1	12	0	20	15	7	0	3	0	3
LOC101103508	100	0	16	51	2	6	0	3	22	0	0	0	0	0
LOC106990138	0	0	0	0	0	0	14	0	0	0	0	0	0	5
NUDT6	426	549	383	398	111	1109	896	522	860	787	1245	892	264	518
LOC101102839	88	23	32	32	8	77	21	49	121	22	2	94	79	70
